Mass,89,103,105,106,108,110,113,115,209
1_B2,0,1,0,1,1,0,0,1,0
1_B3,0,1,1,0,0,0,1,0,1
1_B4,1,1,0,0,0,1,0,0,1
1_B5,1,0,1,0,1,0,0,0,1
1_B6,0,1,0,0,1,1,1,0,0
1_B7,0,1,1,0,1,1,0,0,0
1_B8,1,0,1,0,0,1,1,0,0
1_B9,1,0,0,1,0,0,1,0,1
1_B10,0,0,1,1,0,1,0,1,0
1_B11,1,0,1,1,0,0,1,0,0
1_C2,1,0,0,1,0,1,1,0,0
1_C3,1,1,0,0,1,1,0,0,0
1_C4,0,0,1,0,0,1,0,1,1
1_C5,0,1,0,0,1,0,1,0,1
1_C6,1,0,0,0,1,1,1,0,0
1_C7,1,1,0,0,0,0,0,1,1
1_C8,0,1,0,0,1,1,0,1,0
1_C9,1,0,1,1,1,0,0,0,0
1_C10,0,0,1,1,1,0,0,0,1
1_C11,0,1,0,0,0,1,1,0,1
1_D2,0,0,1,0,1,0,0,1,1
1_D3,0,1,1,0,1,0,0,1,0
1_D4,0,0,1,0,0,1,1,0,1
1_D5,0,1,1,1,1,0,0,0,0
1_D6,0,1,0,0,0,0,1,1,1
1_D7,1,1,1,0,0,1,0,0,0
1_D8,0,1,1,0,1,0,1,0,0
1_D9,0,0,0,1,0,0,1,1,1
1_D10,1,1,0,0,0,1,1,0,0
1_D11,0,0,0,0,0,1,1,1,1
1_E2,1,1,1,0,0,0,0,0,1
1_E3,1,0,0,1,0,0,0,1,1
1_E4,0,0,1,1,1,0,1,0,0
1_E5,1,0,0,0,1,1,0,1,0
1_E6,0,0,1,1,0,1,1,0,0
1_E7,0,1,1,1,0,0,1,0,0
1_E8,1,1,1,0,0,0,1,0,0
1_E9,1,1,0,0,0,0,1,0,1
1_E10,1,0,1,0,0,1,0,1,0
1_E11,0,1,0,1,0,0,1,1,0
1_F2,1,0,0,1,1,0,0,0,1
1_F3,0,1,0,0,1,0,0,1,1
1_F4,1,1,0,1,0,0,0,1,0
1_F5,0,1,1,0,0,1,0,1,0
1_F6,0,0,0,1,1,0,1,0,1
1_F7,1,1,1,1,0,0,0,0,0
1_F8,0,1,0,1,1,1,0,0,0
1_F9,1,0,1,0,0,0,1,0,1
1_F10,0,0,0,1,0,1,1,1,0
1_F11,1,0,1,1,0,1,0,0,0
1_G2,1,0,0,1,0,0,1,1,0
1_G3,0,1,0,1,0,1,1,0,0
1_G4,1,1,0,0,0,0,1,1,0
1_G5,0,0,1,1,0,0,0,1,1
1_G6,1,0,0,0,1,1,0,0,1
1_G7,0,0,0,1,1,1,1,0,0
1_G8,1,0,0,0,1,0,1,0,1
1_G9,0,0,0,1,1,1,0,1,0
1_G10,0,1,0,1,0,1,0,1,0
1_G11,0,1,0,1,1,0,0,0,1
2_B2,1,0,1,1,0,0,0,0,1
2_B3,0,1,0,1,0,0,0,1,1
2_B4,0,1,0,0,1,0,1,1,0
2_B5,1,0,0,0,0,1,1,1,0
2_B6,1,0,0,0,1,0,1,1,0
2_B7,1,0,1,0,0,1,0,0,1
2_B8,1,0,0,1,1,0,0,1,0
2_B9,0,0,0,0,1,1,0,1,1
2_B10,0,0,1,1,0,0,1,0,1
2_B11,0,0,1,1,0,1,0,0,1
2_C2,0,0,0,0,1,1,1,0,1
2_C3,1,1,1,0,1,0,0,0,0
2_C4,1,1,0,1,0,0,0,0,1
2_C5,1,1,0,0,0,1,0,1,0
2_C6,1,0,1,1,0,0,0,1,0
2_C7,0,1,1,0,0,0,0,1,1
2_C8,0,0,1,0,0,0,1,1,1
2_C9,0,1,0,0,0,1,1,1,0
2_C10,1,0,0,1,0,1,0,1,0
2_C11,0,0,0,0,1,1,1,1,0
2_D2,1,1,1,0,0,0,0,1,0
2_D3,0,0,1,0,1,0,1,1,0
2_D4,1,0,0,0,0,1,0,1,1
2_D5,1,0,1,0,1,0,0,1,0
2_D6,0,0,1,0,1,1,1,0,0
2_D7,0,0,1,0,1,1,0,1,0
2_D8,1,0,1,0,0,0,1,1,0
2_D9,0,0,0,1,1,1,0,0,1
2_D10,0,0,0,1,1,0,0,1,1
2_D11,0,1,1,0,1,0,0,0,1
2_E2,0,1,1,1,0,0,0,1,0
2_E3,0,1,1,0,0,0,1,1,0
2_E4,0,1,1,1,0,1,0,0,0
2_E5,0,0,1,0,1,1,0,0,1
2_E6,0,0,1,1,0,0,1,1,0
2_E7,0,1,1,1,0,0,0,0,1
2_E8,1,0,1,0,1,1,0,0,0
2_E9,1,0,1,0,1,0,1,0,0
2_E10,0,0,1,0,0,1,1,1,0
2_E11,1,0,0,1,1,1,0,0,0
2_F2,0,1,0,0,1,1,0,0,1
2_F3,1,1,0,1,0,0,1,0,0
2_F4,0,1,0,0,0,1,0,1,1
2_F5,0,0,1,1,1,0,0,1,0
2_F6,0,1,0,1,0,1,0,0,1
2_F7,0,0,0,1,1,0,1,1,0
2_F8,1,0,0,1,0,1,0,0,1
2_F9,0,1,1,0,0,1,0,0,1
2_F10,0,1,0,1,0,0,1,0,1
2_F11,1,1,0,0,1,0,0,0,1
2_G2,1,0,1,0,0,0,0,1,1
2_G3,1,1,0,1,1,0,0,0,0
2_G4,0,0,0,1,0,1,0,1,1
2_G5,0,0,0,1,0,1,1,0,1
2_G6,0,1,1,0,0,1,1,0,0
2_G7,0,0,0,0,1,0,1,1,1
2_G8,1,0,0,0,1,0,0,1,1
2_G9,1,1,0,0,1,0,0,1,0
2_G10,1,1,0,0,1,0,1,0,0
2_G11,0,1,0,1,1,0,1,0,0
2_H2,0,0,1,1,1,1,0,0,0
2_H3,1,0,0,0,0,1,1,0,1
2_H4,0,0,1,0,1,0,1,0,1
2_H5,1,0,0,0,0,0,1,1,1
2_H6,1,0,0,1,1,0,1,0,0
2_H7,1,1,0,1,0,1,0,0,0
